word,part of speech,definition
afk,abbreviation,away from keyboard
afraid,adjective,feeling fear; filled with apprehension
aftermath,noun,"something that results or follows from an event, especially one of a disastrous or unfortunate nature; consequence"
afternoon,noun,the time from noon until evening.
afterthought,noun,a later or second thought; reconsideration.
afterwards,adverb,at a later or subsequent time; subsequently.
aggravate,verb,"to make worse or more severe; intensify, as anything evil, disorderly, or troublesome"
agonize,verb,to suffer extreme pain or anguish; be in agony.
agreement,noun,the act of agreeing or of coming to a mutual arrangement.
agree,verb,"to have the same views, emotions, etc.; harmonize in opinion or feeling (often followed by with)"
aid,verb,to provide support for or relief to; help
aim,verb,"to position or direct (a firearm, ball, arrow, rocket, etc.) so that, on firing or release, the discharged projectile will hit a target or travel along a certain path."
airplane,noun,"a heavier-than-air aircraft kept aloft by the upward thrust exerted by the passing air on its fixed wings and driven by propellers, jet propulsion, etc."
airport,noun,"a tract of land or water with facilities for the landing, takeoff, shelter, supply, and repair of aircraft, especially one  for receiving or discharging passengers and cargo at regularly scheduled times."
air,noun,"a mixture of nitrogen, oxygen, and minute amounts of other gases that surrounds the earth and forms its atmosphere."
air,noun,"a mixture of nitrogen, oxygen, and minute amounts of other gases that surrounds the earth and forms its atmosphere."
alarm,noun,a sudden fear or distressing suspense ca by an awareness of danger; apprehension; fright.
alert,adjective,fully aware and attentive; wide-awake; keen
align,verb,to arrange in a straight line; adjust according to a line.
allege,verb,to assert without proof.
alley,noun,"a passage, as through a continuous row of houses, permitting access from the street to backyards, garages, etc."
allow,verb,to give permission to or for; permit
allude,verb,to refer casually or indirectly; make an allusion (usually followed by to)
almost,adverb,very nearly; all but
alphabetise,verb,to put or arrange in alphabetical order.
alphabetize,verb,to put or arrange in alphabetical order.
alternate,verb,to interchange repeatedly and regularly with one another in time or place; rotate (usually followed by with)
alter,verb,"to make different in some particular, as size, style, course, or the like; modify"
always,adverb,every time; on every occasion; without exception
amble,verb,"to go at a slow, easy pace; stroll; saunter"
amend,verb,"to alter, modify, rephrase, or add to or subtract from (a motion, bill, constitution, etc.) by formal procedure"
amount,noun,the sum total of two or more quantities or sums; aggregate.
amusement,noun,anything that amuses; pastime; entertainment.
amuse,verb,to hold the attention of (someone) pleasantly; entertain or divert in an enjoyable or cheerful manner
analyse,verb,analyze.
analyze,verb,to separate (a material or abstract entity) into constituent parts or elements; determine the elements or essential features of (opposed to synthesize)
anger,noun,a strong feeling of displeasure and belligerence aro by a wrong; wrath; ire.
angrily,adjective,"feeling or showing anger or strong resentment (usually followed by at, with, or about)"
animal,noun,"any member of the kingdom Animalia, comprising multicellular organisms that have a well-defined shape and usually limited growth, can move voluntarily, actively acquire food and digest it internally, and have sensory and nervous systems that allow them to respond rapidly to stimuli"
animate,verb,to give life to; make alive
annotate,verb,to supply with critical or explanatory notes; comment upon in notes
announce,verb,to make known publicly or officially; proclaim; give notice of
annoy,verb,"to disturb or bother (a person) in a way that displeases, troubles, or slightly irritates."
annually,adjective,"of, for, or pertaining to a year; yearly"
anoint,verb,"to rub or sprinkle on; apply an unguent, ointment, or oily liquid to."
answer,noun,"a spoken or written reply or response to a question, request, letter, etc."
answer,noun,"a spoken or written reply or response to a question, request, letter, etc."
antagonise,verb,to make hostile or unfriendly; make an enemy or antagonist of
antagonize,verb,to make hostile or unfriendly; make an enemy or antagonist of
anticipate,verb,to realize beforehand; foretaste or foresee
ants,noun,"any of numerous black, red, brown, or yellow social insects of the family Formicidae, of worldwide distribution especially in warm climates, having a large head with inner jaws for chewing and outer jaws for carrying and digging, and living in highly organized colonies containing wingless female workers, a winged queen, and, during breeding seasons, winged males, some species being noted for engaging in warfare, slavemaking, or the cultivation of food sources."
ant,noun,"any of numerous black, red, brown, or yellow social insects of the family Formicidae, of worldwide distribution especially in warm climates, having a large head with inner jaws for chewing and outer jaws for carrying and digging, and living in highly organized colonies containing wingless female workers, a winged queen, and, during breeding seasons, winged males, some species being noted for engaging in warfare, slavemaking, or the cultivation of food sources."
anxiously,adjective,full of mental distress or uneasiness because of fear of danger or misfortune; greatly worried; solicitous
apologise,verb,"to offer an apology or excuse for some fault, insult, failure, or injury"
apologize,verb,"to offer an apology or excuse for some fault, insult, failure, or injury"
apparatus,noun,"a group or combination of instruments, machinery, tools, materials, etc., having a particular function or intended for a specific use"
apparel,noun,"clothing, especially outerwear; garments; attire; raiment."
appeal,noun,"an earnest request for aid, support, sympathy, mercy, etc.; entreaty; petition; plea."
appear,verb,to come into sight; become visible
appease,verb,"to bring to a state of peace, quiet, ease, calm, or contentment; pacify; soothe"
applaud,verb,"to clap the hands as an expression of approval, appreciation, acclamation, etc."
apples,adjective,well or fine; under control.
apple,noun,"the usually round, red or yellow, edible fruit of a small tree, Malus sylvestris, of the rose family."
appliance,noun,"an instrument, apparatus, or device for a particular purpose or use."
apply,verb,"to make use of as relevant, suitable, or pertinent"
appraise,verb,to estimate the monetary value of; determine the worth of; assess
appreciate,verb,to be grateful or thankful for
approach,verb,to come near or nearer to
appropriate,adjective,"suitable or fitting for a particular purpose, person, occasion, etc."
approval,noun,the act of approving; approbation.
approve,verb,to speak or think favorably of; pronounce or consider agreeable or good; judge favorably
arch,noun,"Architecture. a curved masonry construction for spanning an opening, consisting of a number of wedgelike stones, bricks, or the like, set with the narrower side toward the opening in such a way that forces on the arch are transmitted as vertical or oblique stresses on either side of the opening."
arch,noun,"Architecture. having a curved head; an archway. the curved head of an opening, as a doorway."
arc,noun,Geometry. any unbroken part of the circumference of a circle or other curved line.
argue,verb,to present reasons for or against a thing
argument,noun,an oral disagreement; verbal opposition; contention; altercation
arise,verb,"to get up from sitting, lying, or kneeling; rise"
arithmetic,noun,the method or process of computation with figures
army,noun,"the military forces of a nation, exclusive of the navy and in some countries the air force."
arm,noun,"the upper limb of the human body, especially the part extending from the shoulder to the wrist."
arrange,verb,"to place in proper, desired, or convenient order; adjust properly"
arrest,verb,to seize (a person) by legal authority or warrant; take into custody
arrogantly,adjective,making claims or pretensions to superior importance or rights; overbearingly assuming; insolently proud
articulate,adjective,uttered clearly in distinct syllables.
art,noun,"the quality, production, expression, or realm, according to aesthetic principles, of what is beautiful, appealing, or of more than ordinary significance."
ascend,verb,"to move, climb, or go upward; mount; rise"
ascertain,verb,to find out definitely; learn with certainty or assurance; determine
ask,verb,to put a question to; inquire of
assail,verb,to attack vigorously or violently; assault.
assault,noun,"a sudden, violent attack; onslaught"
assay,verb,to examine or analyze
assent,verb,to agree or concur; subscribe to (often followed by to)
assert,verb,"to state with assurance, confidence, or force; state strongly or positively; affirm; aver"
assess,verb,"to estimate officially the value of (property, income, etc.) as a basis for taxation."
assign,verb,to give or allocate; allot
assist,verb,to give support or aid to; help
assume,verb,to take for granted or without proof
assure,verb,to declare earnestly to; inform or tell positively; state with confidence to
astonish,verb,to fill with sudden and overpowering surprise or wonder; amaze
attach,verb,to fasten or affix; join; connect
attack,verb,"to set upon in a forceful, violent, hostile, or aggressive way, with or without a weapon; begin fighting with"
attack,verb,"to set upon in a forceful, violent, hostile, or aggressive way, with or without a weapon; begin fighting with"
attempt,verb,to make an effort at; try; undertake; seek
attempt,verb,to make an effort at; try; undertake; seek
attend,verb,to be present at
attention,noun,"the act or faculty of attending, especially by directing the mind to an object."
attraction,noun,"the act, power, or property of attracting."
audit,noun,"an official examination and verification of accounts and records, especially of financial accounts."
aunt,noun,the sister of one's father or mother.
authorise,verb,to give authority or official power to; empower
authority,noun,"the power to determine, adjudicate, or otherwise settle issues or disputes; jurisdiction; the right to control, command, or determine."
authorize,verb,to give authority or official power to; empower
avert,verb,to turn away or aside
aver,verb,to assert or affirm with confidence; declare in a positive or peremptory manner.
avoid,verb,to keep away from; keep clear of; shun
avow,verb,to declare frankly or openly; own; acknowledge; confess; admit
await,verb,to wait for; expect; look for
awaken,verb,to awake; waken.
awkwardly,adjective,lacking skill or dexterity.Synonyms
babble,verb,"to utter sounds or words imperfectly, indistinctly, or without meaning."
babies,noun,an infant or very young child.
baby,noun,an infant or very young child.
backhand,noun,"a stroke, slap, etc., made with the palm of the hand turned toward the body and the back of the hand turned in the direction of the stroke, slap, etc."
backpedal,verb,"to retard the forward motion by pressing backward on the pedal, especially of a bicycle with coaster brakes."
backtrack,verb,to return over the same course or route.
back,noun,"the rear part of the human body, extending from the neck to the lower end of the spine."
badger,noun,"any of various burrowing, carnivorous mammals of the family Mustelidae, as Taxidea taxus, of North America, and Meles meles, of Europe and Asia."
badge,noun,"a special or distinctive mark, token, or device worn as a sign of allegiance, membership, authority, achievement, etc."
badly,adverb,"in a defective, incorrect, or undesirable way"
badmouth,verb,Slang. to speak critically and often disloyally of; disparage
baffle,verb,"to confuse, bewilder, or perplex"
bag,noun,"a container or receptacle of leather, plastic, cloth, paper, etc., capable of being closed at the mouth; pouch."
bait,noun,"food, or some substitute,  as a lure in fishing, trapping, etc."
bait,noun,"food, or some substitute,  as a lure in fishing, trapping, etc."
bake,verb,to cook by dry heat in an oven or on heated metal or stones.
balance,noun,"a state of equilibrium or equipoise; equal distribution of weight, amount, etc."
balance,noun,"a state of equilibrium or equipoise; equal distribution of weight, amount, etc."
balloon,noun,"a bag made of thin rubber or other light material, usually brightly colored, inflated with air or with some lighter-than-air gas and  as a children's plaything or as a decoration."
balls,noun,a spherical or approximately spherical body or shape; sphere
ball,noun,a spherical or approximately spherical body or shape; sphere
ball,noun,a spherical or approximately spherical body or shape; sphere
banana,noun,"a tropical plant of the genus Musa, certain species of which are cultivated for their nutritious fruit."
band,noun,"a company of persons or, sometimes, animals or things, joined, acting, or functioning together; aggregation; party; troop"
bang,noun,"a loud, sudden, explosive noise, as the discharge of a gun."
banish,verb,to expel from or relegate to a country or place by authoritative decree; condemn to exile
banter,noun,"an exchange of light, playful, teasing remarks; good-natured raillery."
bare,adjective,without covering or clothing; naked; nude
bargain,noun,"an advantageous purchase, especially one acquired at less than the usual cost"
barge,noun,"a capacious, flat-bottomed vessel, usually intended to be pushed or towed, for transporting freight or passengers; lighter."
bark,noun,"the abrupt, harsh, explosive cry of a dog."
barrage,noun,Military. a heavy barrier of artillery fire to protect one's own advancing or retreating troops or to stop the advance of enemy troops.
barter,verb,to trade by exchange of commodities rather than by the use of money.
baseball,noun,"a game of ball between two nine-player teams played usually for nine innings on a field that has as a focal point a diamond-shaped infield with a home plate and three other bases, 90 feet (27 meters) apart, forming a circuit that must be completed by a base runner in order to score, the central offensive action entailing hitting of a pitched ball with a wooden or metal bat and running of the bases, the winner being the team scoring the most runs."
base,noun,the bottom support of anything; that on which a thing stands or rests
bashfully,adjective,uncomfortably diffident and easily embarrassed; shy; timid.
bash,verb,to strike with a crushing or smashing blow.
basin,noun,"a circular container with a greater width than depth, becoming smaller toward the bottom,  chiefly to hold water or other liquid, especially for washing."
basketball,noun,"a game played by two teams of usually five players each on a rectangular court having a raised basket or goal at each end, points being scored by tossing the ball through the opponent's basket."
basket,noun,"a container made of twigs, rushes, thin strips of wood, or other flexible material woven together."
bask,verb,to lie in or be exposed to a pleasant warmth
bathe,verb,"to immerse (all or part of the body) in water or some other liquid, for cleansing, refreshment, etc."
bath,noun,"a washing or immersion of something, especially the body, in water, steam, etc., as for cleansing or medical treatment"
battle,noun,a hostile encounter or engagement between opposing military forces
bat,noun,"Sports. the wooden club  in certain games, as baseball and cricket, to strike the ball."
bat,noun,"Sports. the wooden club  in certain games, as baseball and cricket, to strike the ball."
bawl,verb,to cry or wail lustily.
bay,noun,"a body of water forming an indentation of the shoreline, larger than a cove but smaller than a gulf."
bead,noun,"a small, usually round object of glass, wood, stone, or the like with a hole through it, often strung with others of its kind in necklaces, rosaries, etc."
beam,noun,"any of various relatively long pieces of metal, wood, stone, etc., manufactured or shaped especially for use as rigid members or parts of structures or machines."
beam,noun,"any of various relatively long pieces of metal, wood, stone, etc., manufactured or shaped especially for use as rigid members or parts of structures or machines."
bean,noun,"the edible nutritious seed of various plants of the legume family, especially of the genus Phaseolus."
bears,verb,to hold up; support
bear,verb,to hold up; support
bear,verb,to hold up; support
beast,noun,"any nonhuman animal, especially a large, four-footed mammal."
beat,verb,to strike violently or forcefully and repeatedly.
beautifully,adjective,"having beauty; possessing qualities that give great pleasure or satisfaction to see, hear, think about, etc.; delighting the senses or mind"
beautify,verb,to make or become beautiful.
beckon,verb,"to signal, summon, or direct by a gesture of the head or hand."
become,verb,"to come, change, or grow to be (as specified)"
bedroom,noun,a room furnished and  for sleeping.
beds,noun,Bedfordshire.
bed,noun,"a piece of furniture upon which or within which a person sleeps, rests, or stays when not well."
beef,noun,"the flesh of a cow, steer, or bull raised and killed for its meat."
beetle,noun,"any of numerous insects of the order Coleoptera, characterized by hard, horny forewings that cover and protect the membranous flight wings."
bee,noun,"any hymenopterous insect of the superfamily Apoidea, including social and solitary species of several families, as the bumblebees, honeybees, etc."
befall,verb,to happen or occur.
beggar,noun,a person who begs alms or lives by begging.
beginner,noun,a person or thing that begins.
begin,verb,to proceed to perform the first or earliest part of some action; commence; start
beg,verb,"to ask for as a gift, as charity, or as a favor"
behave,verb,to act in a particular way; conduct or comport oneself or itself
behavior,noun,manner of behaving or acting.
behold,verb,to observe; look at; see.
belch,verb,to eject gas spasmodically and noisily from the stomach through the mouth; eruct.
belief,noun,something believed; an opinion or conviction
believe,verb,"to have confidence in the truth, the existence, or the reliability of something, although without absolute proof that one is right in doing so"
believe,verb,"to have confidence in the truth, the existence, or the reliability of something, although without absolute proof that one is right in doing so"
belittle,verb,to regard or portray as less impressive or important than appearances indicate; depreciate; disparage.
bellow,verb,"to emit a hollow, loud, animal cry, as a bull or cow."
bell,noun,"a hollow instrument of cast metal, typically cup-shaped with a flaring mouth, suspended from the vertex and rung by the strokes of a clapper, hammer, or the like."
bemoan,verb,to express distress or grief over; lament
bend,verb,"to force (an object, especially a long or thin one) from a straight form into a curved or angular one, or from a curved or angular form into some different form"
berate,verb,to scold; rebuke
berry,noun,"any small, usually stoneless, juicy fruit, irrespective of botanical structure, as the huckleberry, strawberry, or hackberry."
beseech,verb,to implore urgently
bestow,verb,to present as a gift; give; confer (usually followed by on or upon)
betray,verb,to deliver or expose to an enemy by treachery or disloyalty
bet,verb,to wager with (something or someone).
bicker,verb,to engage in petulant or peevish argument; wrangle
bid,verb,to command; order; direct
bikes,noun,Informal. a bicycle. a motorbike. a motorcycle.
bike,noun,Informal. a bicycle. a motorbike. a motorcycle.
bind,verb,to fasten or secure with a band or bond.
birds,noun,"any warm-blooded vertebrate of the class Aves, having a body covered with feathers, forelimbs modified into wings, scaly legs, a beak, and no teeth, and bearing young in a hard-shelled egg."
bird,noun,"any warm-blooded vertebrate of the class Aves, having a body covered with feathers, forelimbs modified into wings, scaly legs, a beak, and no teeth, and bearing young in a hard-shelled egg."
birthday,noun,the anniversary of a birth.
birth,noun,an act or instance of being born
bite,verb,"to cut, wound, or tear with the teeth"
bite,verb,"to cut, wound, or tear with the teeth"
bitterly,adjective,"having a harsh, disagreeably acrid taste, like that of aspirin, quinine, wormwood, or aloes."
bit,noun,"Machinery. a removable boring head  on certain kinds of drills, as a rock drill. a device for drilling oil wells or the like, consisting of a horizontally rotating blade or an assembly of rotating toothed wheels."
blade,noun,"the flat cutting part of a sword, knife, etc."
blame,verb,to hold responsible; find fault with; censure
blanch,verb,to whiten by removing color; bleach
blare,verb,"to emit a loud, raucous sound"
blaspheme,verb,to speak impiously or irreverently of (God or sacred things).
blather,noun,"foolish, voluble talk"
blat,verb,bleat.
bleakly,adjective,"bare, desolate, and often windswept"
bleat,verb,"to utter the cry of a sheep, goat, or calf or a sound resembling such a cry."
bleed,verb,"to lose blood from the vascular system, either internally into the body or externally through a natural orifice or break in the skin"
blend,verb,to mix smoothly and inseparably together
bless,verb,to consecrate or sanctify by a religious rite; make or pronounce holy.
blindly,adverb,in a blind manner
blind,adjective,unable to see; lacking the sense of sight; sightless
blink,verb,"to open and close the eye, especially involuntarily; wink rapidly and repeatedly."
blissfully,adjective,"full of, abounding in, enjoying, or conferring bliss."
block,noun,"a solid mass of wood, stone, etc., usually with one or more flat or approximately flat faces."
blood,noun,"the fluid that circulates in the principal vascular system of human beings and other vertebrates, in humans consisting of plasma in which the red blood cells, white blood cells, and platelets are suspended."
blossom,noun,"the flower of a plant, especially of one producing an edible fruit."
blot,noun,"a spot or stain, especially of ink on paper."
blow,noun,"a sudden, hard stroke with a hand, fist, or weapon"
blow,noun,"a sudden, hard stroke with a hand, fist, or weapon"
blubber,noun,"Zoology. the fat layer between the skin and muscle of whales and other cetaceans, from which oil is made."
bludgeon,noun,"a short, heavy club with one end weighted, or thicker and heavier than the other."
bluff,adjective,"good-naturedly direct, blunt, or frank; heartily outspoken"
blunder,noun,"a gross, stupid, or careless mistake"
blurt,verb,to utter suddenly or inadvertently; divulge impulsively or unadvisedly (usually followed by out)
blush,verb,"to redden, as from embarrassment or shame"
bluster,verb,"to roar and be tumultuous, as wind."
board,noun,"a piece of wood sawed thin, and of considerable length and breadth compared with the thickness."
boastfully,adjective,given to or characterized by boasting.
boast,verb,"to speak with exaggeration and excessive pride, especially about oneself."
boats,noun,"a vessel for transport by water, constructed to provide buoyancy by excluding water and shaped to give stability and permit propulsion."
boat,noun,"a vessel for transport by water, constructed to provide buoyancy by excluding water and shaped to give stability and permit propulsion."
bob,noun,"a short, jerky motion"
body,noun,"the physical structure and material substance of an animal or plant, living or dead."
boggle,verb,"to overwhelm or bewilder, as with the magnitude, complexity, or abnormality of"
boldly,adjective,not hesitating or fearful in the face of actual or possible danger or rebuff; courageous and daring
bolster,noun,"a long, often cylindrical, cushion or pillow for a bed, sofa, etc."
bolt,noun,"a movable bar or rod that when slid into a socket fastens a door, gate, etc."
bomb,noun,"Military. a projectile, formerly usually spherical, filled with a bursting charge and exploded by means of a fuze, by impact, or otherwise, now generally designed to be dropped from an aircraft."
bond,noun,"something that binds, fastens, confines, or holds together."
bone,noun,"Anatomy, Zoology. one of the structures composing the skeleton of a vertebrate. the hard connective tissue forming the substance of the skeleton of most vertebrates, composed of a collagen-rich organic matrix impregnated with calcium, phosphate, and other minerals."
bonk,verb,"to hit, strike, collide, etc."
books,noun,"a handwritten or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers."
book,noun,"a handwritten or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers."
boom,verb,"to make a deep, prolonged, resonant sound."
boot,noun,"a covering of leather, rubber, or the like, for the foot and all or part of the leg."
boo,interjection,( to express contempt or disapprobation or to startle or frighten).
border,noun,the part or edge of a surface or area that forms its outer boundary.
bore,verb,"to weary by dullness, tedious repetition, unwelcome attentions, etc."
boss,noun,a person who employs or superintends workers; manager.
bottle,noun,"a portable container for holding liquids, characteristically having a neck and mouth and made of glass or plastic."
bounce,verb,to spring back from a surface in a lively manner
boundary,noun,something that indicates bounds or limits; a limiting or bounding line.
bound,verb,simple past tense and past participle of bind.
bow,verb,"to bend the knee or body or incline the head, as in reverence, submission, salutation, recognition, or acknowledgment."
box,noun,"a container, case, or receptacle, usually rectangular, of wood, metal, cardboard, etc., and often with a lid or removable cover."
box,noun,"a container, case, or receptacle, usually rectangular, of wood, metal, cardboard, etc., and often with a lid or removable cover."
boys,noun,"a male child, from birth to full growth, especially one less than 18 years of age."
boy,noun,"a male child, from birth to full growth, especially one less than 18 years of age."
brace,noun,"something that holds parts together or in place, as a clasp or clamp."
brag,verb,to use boastful language; boast
braid,verb,to weave together strips or strands of; plait
brain,noun,"Anatomy, Zoology. the part of the central nervous system enclosed in the cranium of humans and other vertebrates, consisting of a soft, convoluted mass of gray and white matter and serving to control and coordinate the mental and physical actions."
brake,noun,"a device for slowing or stopping a vehicle or other moving mechanism by the absorption or transfer of the energy of momentum, usually by means of friction."
branch,noun,"a division or subdivision of the stem or axis of a tree, shrub, or other plant."
brandish,verb,"to shake or wave, as a weapon; flourish"
brass,noun,any of various metal alloys consisting mainly of copper and zinc.
bravely,adjective,possessing or exhibiting courage or courageous endurance.
brawl,noun,"a noisy quarrel, squabble, or fight."
bray,noun,"the loud, harsh cry of a donkey."
bread,noun,"a kind of food made of flour or meal that has been mixed with milk or water, made into a dough or batter, with or without yeast or other leavening agent, and baked."
breakfast,noun,the first meal of the day; morning meal
break,verb,"to smash, split, or divide into parts violently; reduce to pieces or fragments"
breathe,verb,"to take air, oxygen, etc., into the lungs and expel it; inhale and exhale; respire."
breath,noun,the air inhaled and exhaled in respiration.
breed,verb,to produce (offspring); procreate; engender.
bribe,noun,"money or any other valuable consideration given or promised with a view to corrupting the behavior of a person, especially in that person's performance as an athlete, public official, etc."
brick,noun,"a block of clay hardened by drying in the sun or burning in a kiln, and  for building, paving, etc."
bridge,noun,"a structure spanning and providing passage over a river, chasm, road, or the like."
bridle,noun,"part of the tack or harness of a horse, consisting usually of a headstall, bit, and reins."
briefly,adverb,for a short duration
brighten,verb,to become or make bright or brighter.
brightly,adjective,radiating or reflecting light; luminous; shining
bring,verb,"to carry, convey, conduct, or cause (someone or something) to come with, to, or toward the speaker"
briskly,adjective,quick and active; lively
bristle,noun,"one of the short, stiff, coarse hairs of certain animals, especially hogs,  extensively in making brushes."
broach,noun,"Machinery. an elongated, tapered, serrated cutting tool for shaping and enlarging holes."
broadcast,verb,to transmit (programs) from a radio or television station.
broaden,verb,to become or make broad.
broadly,adjective,of great breadth
brood,noun,a number of young produced or hatched at one time; a family of offspring or young.
brothers,noun,a male offspring having both parents in common with another offspring; a male sibling.
brother,noun,a male offspring having both parents in common with another offspring; a male sibling.
browbeat,verb,to intimidate by overbearing looks or words; bully
browse,verb,"to eat, nibble at, or feed on (leaves, tender shoots, or other soft vegetation)."
brush,noun,"an implement consisting of bristles, hair, or the like, set in or attached to a handle,  for painting, cleaning, polishing, grooming, etc."
brush,noun,"an implement consisting of bristles, hair, or the like, set in or attached to a handle,  for painting, cleaning, polishing, grooming, etc."
bubble,noun,a nearly spherical body of gas contained in a liquid.
bucket,noun,"a deep, cylindrical vessel, usually of metal, plastic, or wood, with a flat bottom and a semicircular bail, for collecting, carrying, or holding water, sand, fruit, etc.; pail."
buckle,noun,"a clasp consisting of a rectangular or curved rim with one or more movable tongues, fixed to one end of a belt or strap,  for fastening to the other end of the same strap or to another strap."
buck,noun,"the male of the deer, antelope, rabbit, hare, sheep, or goat."
buffet,noun,"a blow, as with the hand or fist."
buff,noun,"a soft, thick, light-yellow leather with a napped surface, originally made from buffalo skin but later also from other skins,  for making belts, pouches, etc."
bug,noun,"Also called true bug, hemipteran, hemipteron. a hemipterous insect."
building,noun,"a relatively permanent enclosed construction over a plot of land, having a roof and usually windows and often more than one level,  for any of a wide variety of activities, as living, entertaining, or manufacturing."
build,verb,to construct (especially something complex) by assembling and joining parts or materials
bulb,noun,"Botany. a usually subterranean and often globular bud having fleshy leaves emergent at the top and a stem reduced to a flat disk, rooting from the underside, as in the onion and lily."
bulge,noun,"a rounded projection, bend, or protruding part; protuberance; hump"
bully,noun,"a blustering, quarrelsome, overbearing person who habitually badgers and intimidates smaller or weaker people."
bumble,verb,to bungle or blunder awkwardly; muddle
bump,verb,to come more or less violently in contact with; collide with; strike
bunch,noun,a connected group; cluster
bundle,noun,several objects or a quantity of material gathered or bound together
bun,noun,"any of a wide variety of variously shaped bread rolls, usually leavened and slightly sweetened or plain, sometimes containing spices, dried currants, etc."
burble,verb,to make a bubbling sound; bubble.
burn,verb,"to undergo rapid combustion or consume fuel in such a way as to give off heat, gases, and, usually, light; be on fire"
burn,verb,"to undergo rapid combustion or consume fuel in such a way as to give off heat, gases, and, usually, light; be on fire"
burp,noun,a belch; eructation.
burrow,noun,"a hole or tunnel in the ground made by a rabbit, fox, or similar animal for habitation and refuge."
burst,verb,"to break, break open, or fly apart with sudden violence"
burst,verb,"to break, break open, or fly apart with sudden violence"
bury,verb,to put in the ground and cover with earth
bushes,noun,a low plant with many branches that arise from or near the ground.
busily,adverb,in a busy manner; actively.
business,noun,"an occupation, profession, or trade"
buss,"noun, verb",kiss.
bustle,verb,to move or act with a great show of energy (often followed by about)
